timestamp,title,link
11 Min Ago,Laid off? Experts say newly unemployed workers should take these steps,https://www.cnbc.com/2024/01/12/amazon-citigroup-google-layoffs-money-and-job-search-moves.html
26 Min Ago,"The consumer will be the key next week with retail sales, bank earnings on deck",https://www.cnbc.com/2024/01/12/the-consumer-will-be-the-key-next-week-with-retail-sales-and-more-bank-earnings-on-deck.html
1 Hour Ago,Jefferies says this flavors and fragrances producer can rally 40% from here,https://www.cnbc.com/2024/01/12/jefferies-says-this-flavors-and-fragrances-producer-can-rally-40percent-from-here.html
2 Hours Ago,These stocks are getting close to oversold territory,https://www.cnbc.com/2024/01/12/these-stocks-are-getting-close-to-oversold-territory.html
2 Hours Ago,Cramer: Costco not done 'saturating the world' as new China store lures thousands,https://www.cnbc.com/2024/01/12/cramer-costco-not-done-saturating-world-as-china-store-draws-crowds.html
2 Hours Ago,"Stocks making the biggest moves midday: United Airline, CVS, Tesla and more",https://www.cnbc.com/2024/01/12/stocks-making-the-biggest-moves-midday-ual-cvs-tsla-c-docu.html
2 Hours Ago,Harvard-trained psychologist: 3 habits of bosses without emotional intelligence,https://www.cnbc.com/2024/01/12/habits-of-bosses-with-low-emotional-intelligence-psychologist.html
2 Hours Ago,"Bitcoin losses accelerate following ETF launch, ether heads for 18% gain on week",https://www.cnbc.com/2024/01/12/bitcoin-losses-accelerate-following-etf-launch-while-ether-heads-for-an-18percent-gain-on-week.html
2 Hours Ago,Wall Street gets Wells Fargo wrong after earnings. Here's the level we'd be buyers,https://www.cnbc.com/2024/01/12/wall-streets-getting-wells-fargo-wrong-after-earnings-heres-where-wed-be-buyers.html
2 Hours Ago,Weak demand leads to China-US freight rate cuts despite Red Sea crisis,https://www.cnbc.com/2024/01/12/shippers-cut-cargo-rates-despite-red-sea-crisis-chinas-the-reason.html
2 Hours Ago,Hunter Biden agrees to deposition as House moves toward contempt resolution,https://www.cnbc.com/2024/01/12/hunter-biden-agrees-to-deposition-as-congress-moves-to-contempt-resolution.html
2 Hours Ago,"Deflation: Here's where prices fell in December 2023, in one chart",https://www.cnbc.com/2024/01/12/deflation-heres-where-prices-fell-in-december-2023-in-one-chart-.html
3 Hours Ago,Airline stocks tumble after Delta trims profit forecast,https://www.cnbc.com/2024/01/12/airline-stocks-tumble-after-delta-trims-profit-forecast.html
3 Hours Ago,"Morgan Stanley will pay $249 million to settle criminal, SEC block trade probes",https://www.cnbc.com/2024/01/12/morgan-stanley-will-pay-millions-settle-sec-block-trade-probe.html
3 Hours Ago,Sell the hype: A trade that wins if bitcoin retreats now that an ETF is here,https://www.cnbc.com/2024/01/12/sell-the-hype-a-trade-that-wins-if-bitcoin-retreats-now-that-an-etf-is-finally-here.html
3 Hours Ago,Blackrock’s Fink says bitcoin ETFs are just the first step in finance revolution,https://www.cnbc.com/2024/01/12/blackrocks-larry-fink-says-bitcoin-etfs-are-just-the-first-step-in-the-technological-revolution-of-finance.html
3 Hours Ago,"Space company Momentus, once valued over $1 billion, is running out of money",https://www.cnbc.com/2024/01/12/space-company-momentus-mnts-running-out-of-money.html
3 Hours Ago,Bill Ackman sees the Fed moving rapidly on interest rate cuts,https://www.cnbc.com/2024/01/12/bill-ackman-sees-the-fed-moving-rapidly-on-interest-rate-cuts.html
4 Hours Ago,The biggest AI risks that are holding companies back from more rapid adoption,https://www.cnbc.com/2024/01/12/the-biggest-ai-risks-holding-companies-back-from-more-rapid-adoption.html
4 Hours Ago,Some student loan borrowers will start seeing their debt forgiven in February,https://www.cnbc.com/2024/01/12/borrowers-on-save-plan-can-have-debt-forgiven-in-february.html
4 Hours Ago,"Bill Ackman is creating an organization to fight antisemitism, reform higher ed",https://www.cnbc.com/2024/01/12/bill-ackman-is-creating-an-activist-organization-to-fight-antisemitism-reform-higher-education.html
4 Hours Ago,Walgreens and 3 other health-care stocks are going into our Bullpen watch list,https://www.cnbc.com/2024/01/12/walgreens-and-3-other-health-care-stocks-are-going-into-our-bullpen-watch-list.html
4 Hours Ago,Citigroup is cutting 10% of its workforce in CEO Jane Fraser’s overhaul,https://www.cnbc.com/2024/01/12/citigroup-cutting-10percent-of-workforce.html
4 Hours Ago,Here's who qualifies for Biden's early student loan forgiveness,https://www.cnbc.com/2024/01/12/heres-who-qualifies-for-bidens-early-student-loan-forgiveness-.html
4 Hours Ago,"Tesla stock down on Red Sea delays, rising labor costs and price cuts",https://www.cnbc.com/2024/01/12/tesla-stock-down-on-red-sea-delays-price-cuts.html
5 Hours Ago,Earnings estimates on names slated to report next week have been moving higher,https://www.cnbc.com/2024/01/12/analysts-have-been-ramping-up-earnings-estimates-on-these-names-slated-to-report-next-week.html
5 Hours Ago,Jim Cramer's top 10 things to watch in the stock market Friday,https://www.cnbc.com/2024/01/12/jim-cramers-top-10-things-to-watch-in-the-stock-market-friday.html
5 Hours Ago,"Beer market insulated from supply chain woes, Budweiser owner says",https://www.cnbc.com/2024/01/12/beer-market-isolated-from-supply-chain-woes-budweiser-owner-says.html
5 Hours Ago,Bitcoin ETFs have a key difference from their stock fund counterparts,https://www.cnbc.com/2024/01/12/bitcoin-etfs-have-a-key-difference-from-their-stock-fund-counterparts.html
5 Hours Ago,"Couple racked up over $20,000 in credit card debt, but feel rich",https://www.cnbc.com/2024/01/12/couple-racked-up-over-20000-dollars-in-credit-card-debt-but-feel-rich.html
